param_index,param_name,unit,norm_value,readback,display
5,"Pitch Var."," %",0.156250,0.150000,"15"
5,"Pitch Var."," %",0.187500,0.180000,"18"
5,"Pitch Var."," %",0.218750,0.210000,"21"
5,"Pitch Var."," %",0.250000,0.250000,"25"
5,"Pitch Var."," %",0.281250,0.280000,"28"
5,"Pitch Var."," %",0.312500,0.310000,"31"
5,"Pitch Var."," %",0.343750,0.340000,"34"
5,"Pitch Var."," %",0.375000,0.370000,"37"
5,"Pitch Var."," %",0.406250,0.400000,"40"
5,"Pitch Var."," %",0.437500,0.430000,"43"
5,"Pitch Var."," %",0.468750,0.460000,"46"
5,"Pitch Var."," %",0.500000,0.500000,"50"
5,"Pitch Var."," %",0.531250,0.530000,"53"
5,"Pitch Var."," %",0.562500,0.560000,"56"
5,"Pitch Var."," %",0.593750,0.590000,"59"
5,"Pitch Var."," %",0.625000,0.620000,"62"
5,"Pitch Var."," %",0.656250,0.650000,"65"
5,"Pitch Var."," %",0.687500,0.680000,"68"
5,"Pitch Var."," %",0.718750,0.710000,"71"
5,"Pitch Var."," %",0.750000,0.750000,"75"
5,"Pitch Var."," %",0.781250,0.780000,"78"
5,"Pitch Var."," %",0.812500,0.810000,"81"
5,"Pitch Var."," %",0.843750,0.840000,"84"
5,"Pitch Var."," %",0.875000,0.870000,"87"
5,"Pitch Var."," %",0.906250,0.900000,"90"
5,"Pitch Var."," %",0.937500,0.930000,"93"
5,"Pitch Var."," %",0.968750,0.960000,"96"
5,"Pitch Var."," %",1.000000,1.000000,"100"
6,"Pan Var."," %",0.000000,0.000000,"0"
6,"Pan Var."," %",0.031250,0.030000,"3"
6,"Pan Var."," %",0.062500,0.060000,"6"
6,"Pan Var."," %",0.093750,0.090000,"9"
6,"Pan Var."," %",0.125000,0.120000,"12"
6,"Pan Var."," %",0.156250,0.150000,"15"
6,"Pan Var."," %",0.187500,0.180000,"18"
6,"Pan Var."," %",0.218750,0.210000,"21"
6,"Pan Var."," %",0.250000,0.250000,"25"
6,"Pan Var."," %",0.281250,0.280000,"28"
6,"Pan Var."," %",0.312500,0.310000,"31"
6,"Pan Var."," %",0.343750,0.340000,"34"
6,"Pan Var."," %",0.375000,0.370000,"37"
6,"Pan Var."," %",0.406250,0.400000,"40"
6,"Pan Var."," %",0.437500,0.430000,"43"
6,"Pan Var."," %",0.468750,0.460000,"46"
6,"Pan Var."," %",0.500000,0.500000,"50"
6,"Pan Var."," %",0.531250,0.530000,"53"
6,"Pan Var."," %",0.562500,0.560000,"56"
6,"Pan Var."," %",0.593750,0.590000,"59"
6,"Pan Var."," %",0.625000,0.620000,"62"
6,"Pan Var."," %",0.656250,0.650000,"65"
6,"Pan Var."," %",0.687500,0.680000,"68"
6,"Pan Var."," %",0.718750,0.710000,"71"
6,"Pan Var."," %",0.750000,0.750000,"75"
6,"Pan Var."," %",0.781250,0.780000,"78"
6,"Pan Var."," %",0.812500,0.810000,"81"
6,"Pan Var."," %",0.843750,0.840000,"84"
6,"Pan Var."," %",0.875000,0.870000,"87"
6,"Pan Var."," %",0.906250,0.900000,"90"
6,"Pan Var."," %",0.937500,0.930000,"93"
6,"Pan Var."," %",0.968750,0.960000,"96"
6,"Pan Var."," %",1.000000,1.000000,"100"
7,"Res Var."," %",0.000000,0.000000,"0"
7,"Res Var."," %",0.031250,0.030000,"3"
7,"Res Var."," %",0.062500,0.060000,"6"
7,"Res Var."," %",0.093750,0.090000,"9"
7,"Res Var."," %",0.125000,0.120000,"12"
7,"Res Var."," %",0.156250,0.150000,"15"
7,"Res Var."," %",0.187500,0.180000,"18"
7,"Res Var."," %",0.218750,0.210000,"21"
7,"Res Var."," %",0.250000,0.250000,"25"
7,"Res Var."," %",0.281250,0.280000,"28"
7,"Res Var."," %",0.312500,0.310000,"31"
7,"Res Var."," %",0.343750,0.340000,"34"
7,"Res Var."," %",0.375000,0.370000,"37"
7,"Res Var."," %",0.406250,0.400000,"40"
7,"Res Var."," %",0.437500,0.430000,"43"
7,"Res Var."," %",0.468750,0.460000,"46"
7,"Res Var."," %",0.500000,0.500000,"50"
7,"Res Var."," %",0.531250,0.530000,"53"
7,"Res Var."," %",0.562500,0.560000,"56"
7,"Res Var."," %",0.593750,0.590000,"59"
7,"Res Var."," %",0.625000,0.620000,"62"
7,"Res Var."," %",0.656250,0.650000,"65"
7,"Res Var."," %",0.687500,0.680000,"68"
7,"Res Var."," %",0.718750,0.710000,"71"
